Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00150359",123,76,16,19,1,4,-,6,1
"S00150360",131,63,37,13,1,4,4,9,-
"S00150361",129,86,23,10,-,4,-,5,-
"S00150362",174,64,47,47,3,1,-,6,2
"S00150363",117,71,17,24,3,-,4,3,-
"S00150364",138,78,32,15,-,2,1,10,-
"S00150365",115,47,25,25,7,3,-,7,-
"S00150366",106,63,22,13,2,5,-,2,-
"S00150367",175,114,32,19,5,1,-,4,-
"S00150368",92,59,19,5,-,-,-,7,2
"S00150369",111,73,20,6,-,-,5,5,-
"S00150370",138,76,34,20,-,3,1,4,-
"S00150371",140,106,22,12,2,2,-,2,-
"S00150372",130,93,6,18,3,1,2,5,-
"S00150373",168,131,20,5,4,-,4,4,-
"S00150374",105,74,15,5,1,2,-,4,-
"S00150375",103,55,22,16,6,-,4,-,-
"S00150376",116,82,15,11,1,1,1,-,3
"S00150377",170,120,24,20,-,1,-,5,-
"S00150378",129,78,19,22,3,-,1,6,-
"S00150379",114,64,20,10,4,2,3,8,1
"S00150380",101,70,23,3,-,2,-,3,-
"S00150381",191,77,70,23,6,1,8,3,-
"S00150382",110,77,19,12,2,-,3,1,-
"S00150383",110,64,21,19,-,-,2,4,-
"S00150384",120,75,27,10,-,2,1,5,-
"S00150385",111,74,23,8,2,-,-,3,-
"S00150386",184,121,28,28,-,2,-,5,-
"S00150387",94,41,22,22,5,1,-,2,1
"S00150388",95,59,16,11,-,-,1,8,-
"S00150389",124,88,15,13,-,1,-,4,-
"S00150390",171,120,28,15,1,-,-,4,-
"S00150391",126,56,35,13,4,-,7,6,-
"S00150392",116,81,18,8,-,5,1,7,-
"S00150393",115,83,11,15,2,-,-,4,-
"S00150394",81,37,28,9,-,2,1,3,2
"S00150395",132,85,27,15,-,4,-,1,-
"S00150396",138,98,17,16,2,5,-,1,-
"S00150397",91,37,19,18,3,1,2,7,-
"S00150398",155,109,28,16,1,2,-,4,-
"S00150399",88,65,12,8,1,1,2,2,-
"S00150400",117,85,9,17,-,5,-,1,-
"S00150401",183,131,29,14,3,2,1,1,1
"S00150402",76,43,17,14,1,-,1,-,-
"S00150403",131,75,22,21,7,-,2,4,-
"S00150404",123,62,27,28,2,1,1,-,-
"S00150405",101,73,11,13,2,1,-,3,-
"S00150406",106,74,17,7,2,1,-,4,-
"S00150407",115,82,11,12,1,-,1,4,-
"S00150408",176,108,26,32,2,2,3,5,-
"S00150409",144,84,18,32,-,1,1,3,-
"S00150410",106,48,23,15,8,1,6,7,-
"S00150411",111,66,14,17,2,-,1,10,-
"S00150412",88,58,6,11,4,-,-,3,-
"S00150413",147,102,23,16,-,1,-,4,1
"S00150414",74,33,23,12,2,1,-,-,-
"S00150415",126,82,23,14,1,2,-,1,-
"S00150416",60,42,12,5,-,-,-,1,-
"S00150417",119,50,28,32,-,-,-,2,-
"S00150418",104,59,16,30,1,-,1,3,-
"S00150419",212,133,37,24,7,9,-,1,2
"S00150420",147,111,21,8,-,-,-,6,1
"S00150421",96,75,13,1,5,3,-,2,-
"S00150422",118,80,12,20,3,-,2,-,-
"S00150423",92,36,20,28,5,1,2,1,1
"S00150424",161,116,27,12,4,-,3,2,-
"S00150425",131,63,37,22,-,1,3,5,1
"S00150426",118,65,25,13,2,-,1,9,-
"S00150427",100,72,9,6,-,2,1,6,-
"S00150428",169,102,35,26,-,-,2,1,1
"S00150429",122,63,27,25,-,-,2,5,-
"S00150430",163,109,31,14,7,4,1,2,-
"S00150431",121,70,30,9,5,-,-,5,-
"S00150432",116,74,18,9,1,6,-,8,-
"S00150433",120,78,18,15,-,2,-,3,1
"S00150434",122,87,17,16,2,1,-,2,-
"S00150435",151,106,23,12,3,3,2,3,-
"S00150436",122,71,19,16,8,-,-,9,1
"S00150437",90,61,14,10,-,-,1,5,-
"S00150438",224,131,48,28,2,3,4,6,-
"S00150439",112,66,19,18,1,1,3,3,-
"S00150440",245,162,31,30,11,1,2,11,-
"S00150441",100,66,9,14,5,4,1,1,-
"S00150442",112,71,13,13,7,1,1,6,-
"S00150443",130,89,18,17,1,-,-,4,-
"S00150444",109,67,18,13,2,2,-,8,-
"S00150445",96,62,15,9,2,-,2,4,-
"S00150446",95,67,3,10,3,1,-,4,2
"S00150447",126,67,21,30,1,-,3,4,-
"S00150448",134,87,22,19,-,1,-,-,-
"S00150449",94,60,20,10,3,-,-,2,-
"S00150450",131,102,19,2,4,-,-,4,-
"S00150451",127,74,16,18,6,3,1,10,-
"S00150452",132,89,16,16,4,1,-,5,-
"S00150453",148,112,24,10,-,1,-,-,-
"S00150454",72,46,15,13,-,-,-,-,-
"S00150455",135,90,19,19,4,-,3,3,-
"S00150456",148,93,22,23,6,-,-,10,-
"S00150457",226,123,49,29,2,-,-,20,-
"S00150458",170,118,24,23,3,-,-,2,-
"S00150459",155,86,28,30,6,1,-,4,-
"S00150460",95,66,11,12,5,-,-,3,-
"S00150461",122,80,23,3,3,4,-,6,-
"S00150462",102,61,20,20,-,1,-,-,-
"S00150463",151,105,21,6,11,1,1,3,-
"S00150464",92,70,5,10,2,-,-,4,-
"S00150465",146,105,10,20,1,1,4,4,-
"S00150466",140,85,26,20,1,-,2,8,-
"S00150467",102,79,9,9,-,-,2,3,-
"S00150468",122,84,18,10,3,2,-,6,-
"S00150469",124,90,11,18,1,3,-,1,-
"S00150470",176,137,18,13,1,-,1,4,-
"S00150471",89,60,9,12,4,-,-,3,-
"S00150472",122,73,27,15,1,3,1,6,-
"S00150473",80,53,8,12,2,-,2,2,-
"S00150474",98,67,7,19,2,2,1,2,-
"S00150475",121,83,16,13,2,1,6,-,-
"S00150476",178,122,37,14,-,2,-,1,-
"S00150477",153,106,23,14,5,3,-,2,-
"S00150478",124,77,28,14,-,3,-,3,1
"S00150479",154,109,20,7,9,2,1,4,-
"S00150480",60,42,15,2,-,-,-,1,-
"S00150481",67,52,6,1,3,-,-,5,-
"S00150482",149,125,13,7,2,-,-,4,-
"S00150483",144,83,29,21,1,3,-,4,2
"S00150484",161,121,19,17,4,-,-,2,-
"S00150485",123,75,30,9,-,1,-,8,-
"S00150486",100,67,12,14,1,1,2,2,1
"S00150487",154,115,19,13,3,1,2,2,-
"S00150488",106,61,14,24,1,4,-,-,-
"S00150489",99,63,11,14,-,1,1,10,-
"S00150490",129,95,16,10,-,1,-,8,-
"S00150491",118,73,19,11,6,-,-,6,-
"S00150492",97,66,11,11,4,2,-,3,-
"S00150493",148,105,11,8,4,-,-,10,2
"S00150494",98,77,15,4,-,-,-,3,-
"S00150495",123,93,12,10,4,1,3,1,-
"S00150496",141,98,17,18,2,-,-,1,1
"S00150497",189,113,23,36,4,4,2,6,2
"S00150498",123,73,32,17,-,-,-,1,-
"S00150499",109,75,6,17,1,1,2,4,-
"S00150500",162,105,19,23,5,3,1,9,1
"S00150501",89,67,12,11,1,-,-,-,-
"S00150502",146,90,22,17,1,2,3,8,3
"S00150503",81,67,11,-,-,1,1,1,-
"S00150504",92,71,7,11,-,1,1,2,-
"S00150505",95,76,8,6,-,-,-,-,-
"S00150506",153,110,25,11,4,-,-,6,-
"S00150507",151,110,17,7,3,2,2,10,-
"S00150508",162,118,18,15,3,4,3,2,-
"S00150509",245,152,46,15,11,-,2,24,-
"S00150510",158,122,14,14,1,3,4,-,-
"S00150511",211,115,51,21,12,1,-,11,2
"S00150512",103,73,9,12,2,-,-,3,-
"S00150513",73,59,4,7,1,1,-,1,-
"S00150514",89,54,18,10,2,1,-,3,2
"S00150515",208,143,31,15,4,1,-,9,4
"S00150516",163,132,14,9,-,1,-,10,-
"S00150517",109,65,18,13,-,2,-,12,-
"S00150518",100,72,10,8,-,1,-,8,-
"S00150519",157,92,25,10,7,-,2,12,-
"S00150520",125,77,12,11,4,4,1,17,2
"S00150521",104,79,22,5,-,1,-,-,1
"S00150522",99,71,14,6,1,4,-,3,-
"S00150523",120,84,13,10,3,1,-,3,1
"S00150524",182,132,8,13,9,1,2,12,-
"S00150525",101,61,18,13,2,1,4,1,3
"S00150526",110,90,11,1,-,-,-,9,-
"S00150527",97,57,16,13,3,-,1,5,-
"S00150528",133,107,14,6,-,1,-,-,-
"S00150529",110,82,10,11,-,3,2,3,-
"S00150530",82,65,12,6,-,1,2,-,-
"S00150531",132,100,17,9,1,-,-,6,-
"S00150532",89,51,18,17,1,-,1,3,-
"S00150533",141,91,17,16,7,-,-,9,-
"S00150534",107,78,17,8,-,1,1,-,-
"S00150535",82,67,3,12,-,-,-,-,-
"S00150536",126,91,13,4,6,4,2,8,-
"S00150537",155,98,34,9,4,4,-,4,-
"S00150538",108,63,14,21,-,2,-,7,-
"S00150539",107,80,21,4,-,-,1,1,-
"S00150540",127,105,13,4,2,-,1,3,-
"S00150541",117,93,9,11,1,-,-,3,-
"S00150542",139,64,34,25,3,6,5,2,-
"S00150543",61,29,15,9,2,1,2,2,2
"S00150544",141,58,36,11,5,12,7,10,-
"S00150545",126,49,41,22,-,4,3,6,1
"S00150546",99,61,19,8,1,2,-,4,1
"S00150547",102,40,36,8,4,6,5,2,1
"S00150548",112,41,37,22,3,2,4,3,-
"S00150549",132,43,53,24,2,6,8,1,-
"S00150550",90,46,32,5,-,4,4,3,-
"S00150551",72,38,13,6,-,2,2,11,-
"S00150552",206,72,79,23,9,13,4,6,2
"S00150553",106,68,25,3,1,5,1,2,2
"S00150554",127,54,34,17,2,5,3,11,1
"S00150555",90,34,38,8,4,5,1,-,-
"S00150556",93,60,12,13,2,2,-,1,-
"S00150557",117,59,28,10,3,13,2,4,-
"S00150558",213,97,67,24,3,6,7,10,-
"S00150559",127,38,49,20,7,1,3,4,-
"S00150560",76,27,29,14,-,1,3,2,-
"S00150561",119,77,18,6,2,3,1,13,-
"S00150562",125,57,26,14,2,-,5,12,1
"S00150563",84,41,23,10,7,1,-,2,1
"S00150564",90,40,30,12,-,3,-,1,1
"S00150565",137,53,43,18,-,4,10,8,-
"S00150566",103,43,37,6,4,-,3,5,-
"S00150567",107,44,33,21,5,8,-,2,-
"S00150568",79,42,16,8,1,2,4,4,-
"S00150569",178,81,48,29,7,4,6,5,1
"S00150570",163,72,43,25,4,6,3,4,-
"S00150571",94,46,29,9,2,2,5,1,-
"S00150572",134,65,37,10,8,5,3,5,1
"S00150573",91,51,19,12,1,3,3,2,-
"S00150574",85,48,20,11,-,1,-,3,-
"S00150575",128,77,24,13,3,7,3,3,3
"S00150576",65,39,12,4,1,3,1,1,-
"S00150577",71,30,26,5,-,4,3,-,-
"S00150578",160,90,32,17,4,13,3,5,-
"S00150579",65,24,22,10,-,5,4,2,-
"S00150580",84,39,26,13,-,1,1,-,1
"S00150581",86,30,33,16,2,1,5,4,-
"S00150582",72,44,15,8,2,3,2,4,-
"S00150583",111,49,31,14,4,7,4,-,-
"S00150584",188,91,43,27,8,6,6,7,-
"S00150585",127,76,22,11,6,5,4,3,-
"S00150586",89,36,26,13,-,7,3,3,-
"S00150587",140,52,55,18,2,4,4,2,-
"S00150588",115,73,27,11,1,-,3,-,-
"S00150589",121,49,39,17,1,4,7,2,-
"S00150590",145,84,35,11,-,6,-,4,-
"S00150591",149,72,43,18,6,2,5,2,-
"S00150592",154,106,12,10,1,5,5,9,6
"S00150593",208,103,64,17,4,8,1,7,2
"S00150594",114,80,9,6,5,-,-,7,-
"S00150595",127,63,36,17,6,1,5,3,-
"S00150596",96,66,18,5,-,4,2,2,-
"S00150597",68,25,24,9,-,8,-,-,-
"S00150598",84,36,28,6,-,8,-,2,-
"S00150599",158,58,52,21,5,8,6,4,2
"S00150600",118,74,14,9,7,2,3,6,-
"S00150601",118,83,17,11,5,1,-,2,-
"S00150602",175,81,46,18,9,10,5,3,2
"S00150603",149,95,10,8,6,6,5,15,-
"S00150604",88,52,11,12,7,-,-,3,1
"S00150605",99,66,2,4,16,3,2,1,-
"S00150606",90,61,3,4,4,2,-,15,3
"S00150607",105,78,1,7,4,4,1,8,-
"S00150608",150,69,43,24,1,2,3,3,1
"S00150609",155,79,39,15,2,3,3,9,1
"S00150610",112,76,9,10,6,4,-,4,2
"S00150611",170,62,38,31,17,8,6,7,-
"S00150612",108,65,13,12,9,2,4,5,-
"S00150613",172,95,29,23,10,6,1,10,1
"S00150614",130,80,15,14,3,11,1,2,2
"S00150615",112,51,24,22,7,2,3,5,-
"S00150616",185,71,59,40,4,3,4,5,1
"S00150617",109,65,20,10,4,5,1,5,-
"S00150618",188,96,51,19,4,5,3,7,-
"S00150619",98,50,23,12,3,2,1,7,-
"S00150620",102,45,34,7,1,4,6,4,1
"S00150621",131,71,26,14,5,6,2,7,-
"S00150622",90,48,23,13,1,2,-,5,-
"S00150623",155,77,22,28,13,6,-,7,-
"S00150624",89,38,22,11,2,5,3,6,-
"S00150625",128,50,45,18,2,5,3,5,-
"S00150626",74,32,21,10,3,5,-,2,-
"S00150627",150,71,43,19,2,7,5,6,-
"S00150628",135,64,40,15,6,3,2,5,-
"S00150629",110,41,36,18,3,4,1,4,-
"S00150630",92,39,28,14,1,5,1,3,-
"S00150631",135,63,37,17,1,7,4,8,-
"S00150632",118,51,45,15,-,6,6,-,-
"S00150633",86,26,38,18,3,2,-,2,-
"S00150634",102,49,24,17,6,4,5,-,1
"S00150635",114,49,27,18,4,2,5,2,1
"S00150636",93,41,22,17,4,4,-,4,-
"S00150637",70,20,33,14,-,1,1,1,-
"S00150638",120,47,36,11,3,1,6,17,-
"S00150639",137,72,38,8,2,8,2,6,2
"S00150640",132,76,29,11,6,4,-,9,4
"S00150641",75,18,34,14,5,6,2,1,-
"S00150642",118,81,21,13,-,3,-,5,-
"S00150643",116,83,11,16,3,3,-,1,-
"S00150644",86,49,20,5,-,7,4,3,-
"S00150645",189,129,26,17,3,2,-,10,-
"S00150646",208,107,61,14,5,9,4,7,-
"S00150647",102,38,35,14,3,4,2,9,-
"S00150648",130,93,35,-,-,4,-,1,-
"S00150649",112,49,33,13,3,5,2,5,-
"S00150650",89,53,21,6,1,3,1,-,1
"S00150651",87,42,20,14,-,5,1,-,-
"S00150652",185,85,56,16,5,9,7,6,1
"S00150653",112,66,22,8,2,3,1,10,-
"S00150654",101,39,34,10,1,7,-,7,-
"S00150655",188,74,58,23,7,8,14,6,-
"S00150656",147,75,36,18,3,5,2,10,-
"S00150657",116,41,44,16,3,2,7,4,2
"S00150658",125,60,29,17,2,9,4,1,-
"S00150659",92,48,20,5,8,3,2,6,-
"S00150660",87,44,20,6,4,4,4,6,-
"S00150661",146,78,27,17,-,7,3,15,-
"S00150662",135,79,26,12,7,5,1,2,-
"S00150663",123,90,15,6,4,1,-,6,-
"S00150664",86,55,9,13,4,4,-,-,-
"S00150665",90,63,9,10,3,2,2,1,1
"S00150666",60,40,8,8,3,1,-,2,-
"S00150667",150,82,25,21,3,2,9,6,-
"S00150668",126,64,35,13,2,2,2,2,-
"S00150669",165,72,24,46,5,3,5,9,1
"S00150670",133,72,22,12,-,10,1,15,-
"S00150671",105,50,33,7,5,1,1,8,-
"S00150672",172,68,32,10,6,10,3,41,3
"S00150673",96,44,23,14,3,3,4,6,1
"S00150674",98,55,18,6,1,6,1,10,-
"S00150675",81,40,21,8,2,3,2,5,-
"S00150676",109,59,23,7,6,6,2,5,-
"S00150677",140,63,39,19,1,5,-,7,1
"S00150678",127,70,23,13,6,6,2,6,-
"S00150679",66,43,10,4,1,2,1,4,-
"S00150680",117,65,24,12,2,3,5,5,-
"S00150681",145,79,19,22,5,3,-,17,-
"S00150682",77,30,21,10,3,3,2,10,-
"S00150683",136,75,27,18,7,1,1,2,-
"S00150684",88,56,7,11,2,6,1,4,1
"S00150685",83,49,19,6,3,2,3,2,-
"S00150686",79,44,13,11,1,7,1,1,-
"S00150687",146,94,18,15,7,4,4,3,-
"S00150688",151,100,27,13,-,4,-,5,1
"S00150689",158,106,24,14,5,-,4,3,-
"S00150690",73,45,11,11,-,7,-,1,2
"S00150691",71,66,5,-,-,-,-,3,-
"S00150692",201,121,38,18,9,6,1,8,1
"S00150693",105,49,28,5,4,9,-,10,-
"S00150694",109,64,19,10,6,3,3,4,1
"S00150695",121,73,25,4,6,10,-,4,1
"S00150696",120,76,21,11,2,2,-,8,-
"S00150697",80,49,10,8,2,3,1,6,-
"S00150698",100,66,24,1,3,4,-,6,-
"S00150699",144,91,18,11,1,6,4,13,2
"S00150700",115,73,13,6,4,12,4,2,2
"S00150701",58,47,6,1,1,5,-,-,-
"S00150702",59,47,10,-,-,1,1,1,-
"S00150703",80,59,9,5,-,4,3,1,-
"S00150704",122,60,27,7,13,8,2,5,-
"S00150705",127,75,25,13,6,3,3,1,-
"S00150706",160,100,28,15,13,1,3,3,-
"S00150707",83,54,14,10,-,3,-,3,-
"S00150708",127,94,11,13,-,4,2,2,-
"S00150709",63,43,7,-,4,3,1,6,-
"S00150710",140,101,19,6,2,4,3,7,-
"S00150711",94,66,6,6,2,8,1,4,-
"S00150712",127,97,9,10,2,4,-,-,-
"S00150713",70,38,22,1,4,5,3,-,-
"S00150714",117,91,12,9,3,1,1,3,-
"S00150715",214,110,50,18,9,10,6,7,3
"S00150716",200,169,15,4,1,4,2,6,2
"S00150717",106,75,13,8,1,7,-,-,-
"S00150718",74,33,14,19,2,-,4,2,-
"S00150719",169,79,42,32,4,4,4,2,-
"S00150720",108,79,11,6,3,5,-,5,-
"S00150721",171,133,12,8,6,6,1,7,-
"S00150722",102,59,21,10,2,7,-,1,-
"S00150723",104,80,10,11,2,1,-,-,-
"S00150724",86,58,11,9,-,2,3,-,-
"S00150725",86,69,5,3,-,1,2,4,-
"S00150726",266,141,55,31,4,13,7,15,1
"S00150727",177,95,41,28,4,6,2,3,1
"S00150728",106,51,35,13,1,2,4,4,-
"S00150729",66,47,15,6,-,2,-,-,-
"S00150730",136,99,7,10,-,4,-,11,2
"S00150731",128,81,26,7,-,2,2,3,-
"S00150732",111,81,13,10,1,2,-,1,-
"S00150733",71,43,5,10,4,1,4,3,-
"S00150734",87,53,15,14,-,2,-,-,-
"S00150735",119,55,35,12,2,10,1,3,2
"S00150736",182,79,42,22,6,13,5,16,-
"S00150737",156,117,25,5,-,8,5,-,-
"S00150738",117,85,11,10,3,4,1,1,-
"S00150739",91,63,16,1,5,2,-,4,-
"S00150740",151,113,19,6,4,6,-,2,-
"S00150741",141,71,33,14,4,11,5,3,2
"S00150742",90,60,17,2,-,1,4,2,1
"S00150743",128,110,3,10,1,3,1,1,-
"S00150744",136,109,16,6,3,3,-,3,-
"S00150745",79,59,10,3,-,5,1,-,-
"S00150746",263,179,30,21,11,5,6,6,2
"S00150747",263,180,41,15,4,6,3,13,-
"S00150748",187,127,27,15,3,10,3,3,-
"S00150749",182,98,32,26,5,11,8,6,-
"S00150750",145,91,29,6,1,1,5,7,-
"S00150751",113,68,19,11,3,9,2,1,-
"S00150752",225,134,23,25,10,16,9,6,2
"S00150753",138,65,37,7,5,7,4,9,-
"S00150754",86,40,15,19,3,1,6,2,2
"S00150755",226,155,35,19,2,7,2,5,-
"S00150756",95,74,5,6,1,2,1,4,3
"S00150757",158,74,44,22,4,8,4,1,-
"S00150758",132,77,30,5,1,8,9,1,-
"S00150759",149,116,14,7,1,3,-,7,-
"S00150760",122,74,28,16,2,3,-,-,-
"S00150761",116,67,28,12,-,5,2,6,1
"S00150762",88,59,13,7,3,4,-,-,-
"S00150763",147,71,39,21,5,8,3,1,-
"S00150764",105,57,15,19,3,7,2,-,-
"S00150765",128,55,33,19,3,-,4,11,-
"S00150766",79,46,13,13,-,3,1,5,-
"S00150767",109,85,4,9,2,-,1,5,-
"S00150768",134,90,11,4,10,3,3,9,4
"S00150769",142,93,21,18,7,3,-,1,-
"S00150770",96,83,7,6,-,-,-,2,-
"S00150771",100,57,24,8,3,4,2,3,-
"S00150772",149,89,31,8,3,10,9,2,1
"S00150773",241,133,60,7,7,14,4,6,1
"S00150774",103,75,19,1,3,2,1,2,-
"S00150775",73,36,19,7,-,6,2,4,-
"S00150776",109,81,11,5,6,2,1,3,-
"S00150777",139,90,19,19,2,4,2,2,-
"S00150778",89,66,15,5,-,2,-,1,-
"S00150779",122,75,12,10,-,12,2,6,4
"S00150780",120,64,25,10,5,4,2,4,3
"S00150781",147,78,27,18,6,7,4,6,-
"S00150782",88,45,21,13,1,2,4,2,-
"S00150783",84,51,13,8,7,1,-,7,-
"S00150784",155,76,40,18,5,7,6,4,1
"S00150785",91,48,19,10,2,8,-,-,-
"S00150786",123,46,38,23,-,1,8,3,1
"S00150787",67,46,10,6,1,2,1,-,-
"S00150788",93,48,22,10,2,-,4,5,-
"S00150789",67,49,5,8,-,3,-,4,1
"S00150790",168,91,46,12,4,6,6,1,2
"S00150791",159,77,44,26,4,6,2,2,-
"S00150792",167,85,47,21,5,6,5,-,-
"S00150793",104,59,30,5,-,3,2,8,-
"S00150794",142,72,43,1,9,9,3,5,-
"S00150795",76,46,13,6,-,4,1,3,3
"S00150796",147,116,14,14,1,5,1,-,-
"S00150797",90,66,9,8,1,-,-,3,-
"S00150798",167,120,20,21,-,2,3,1,-
"S00150799",123,90,25,1,-,4,1,-,-
"S00150800",101,65,17,7,-,6,2,3,-
"S00150801",103,67,11,11,1,9,2,1,-
"S00150802",148,63,42,15,5,2,3,17,-
"S00150803",111,67,19,20,1,-,1,2,-
"S00150804",114,65,24,16,2,2,1,3,-
"S00150805",92,40,33,13,1,1,6,-,-
"S00150806",86,34,30,11,3,8,1,-,-
"S00150807",75,58,8,3,-,1,-,5,-
"S00150808",75,49,11,13,-,1,1,-,-
"S00150809",98,53,25,8,3,4,1,1,-
"S00150810",153,73,34,29,3,9,6,-,-
"S00150811",130,94,17,10,1,1,1,3,-
"S00150812",71,47,9,3,1,3,-,5,-
"S00150813",88,48,19,8,-,6,4,5,-
"S00150814",130,95,12,22,1,-,1,2,-
"S00150815",110,32,45,23,1,3,3,3,-
"S00150816",155,84,34,21,3,8,6,3,-
"S00150817",119,59,36,16,3,2,1,1,-
"S00150818",126,87,18,14,1,1,1,4,-
"S00150819",130,67,26,24,2,4,1,7,-
"S00150820",105,56,26,13,6,3,-,1,-
"S00150821",136,91,23,9,2,5,3,5,-
"S00150822",121,95,10,8,4,1,1,2,-
"S00150823",117,90,18,9,1,1,3,-,-
"S00150824",150,111,22,10,-,5,-,2,-
"S00150825",95,54,24,4,-,6,3,3,-
"S00150826",127,80,22,18,-,-,-,5,-
"S00150827",72,46,17,7,1,-,-,2,-
"S00150828",70,43,18,9,1,3,-,-,-
"S00150829",111,73,20,9,-,5,2,2,-
"S00150830",129,80,21,17,4,3,1,3,1
"S00150831",121,97,7,2,5,4,-,4,-
"S00150832",77,51,15,11,-,-,-,-,-
"S00150833",85,53,24,3,1,4,-,2,-
"S00150834",164,125,20,9,-,4,-,1,-
"S00150835",101,52,20,15,3,3,5,1,-
"S00150836",112,89,11,7,-,3,-,2,-
"S00150837",161,104,34,16,-,1,2,2,-
"S00150838",175,147,11,11,-,1,2,3,1
"S00150839",139,102,11,13,2,4,1,3,-
"S00150840",78,65,6,1,1,3,1,-,-
"S00150841",135,65,33,23,-,4,2,9,-
"S00150842",122,81,23,11,1,3,-,1,-
"S00150843",141,93,23,12,1,1,4,7,1
"S00150844",83,41,21,13,1,-,-,5,1
"S00150845",85,62,19,1,-,2,-,1,-
"S00150846",98,75,10,9,-,1,1,1,-
"S00150847",92,59,17,3,4,3,1,5,-
"S00150848",77,56,3,4,-,-,-,11,-
"S00150849",113,90,7,7,-,1,3,4,-
"S00150850",74,53,17,4,1,-,1,1,-
"S00150851",209,138,46,17,-,2,2,2,-
"S00150852",118,91,10,10,-,3,-,1,-
"S00150853",125,99,9,9,2,-,2,4,-
"S00150854",85,60,6,12,-,2,-,2,-
"S00150855",88,59,13,10,1,1,1,4,-
"S00150856",153,87,30,22,6,1,2,6,-
"S00150857",158,106,28,7,4,-,2,12,-
"S00150858",106,71,20,16,-,-,-,3,-
"S00150859",69,53,6,6,-,-,-,3,-
"S00150860",99,70,14,6,2,7,2,1,-
"S00150861",127,92,17,16,-,1,6,1,-
"S00150862",113,89,6,14,1,3,1,3,-
"S00150863",130,91,22,10,1,-,1,-,-
"S00150864",81,54,10,9,3,-,-,3,-
"S00150865",95,68,12,8,-,2,4,-,-
"S00150866",163,97,31,27,2,3,2,1,-
"S00150867",132,82,25,14,4,2,1,3,-
"S00150868",161,113,17,13,1,4,-,13,-
"S00150869",149,115,10,9,1,-,6,10,-
"S00150870",183,121,26,22,2,-,6,5,1
"S00150871",200,163,10,14,4,6,-,6,-
"S00150872",134,82,18,9,6,2,-,15,-
"S00150873",124,96,17,7,1,2,-,1,-
"S00150874",135,100,18,13,2,4,-,2,-
"S00150875",161,82,50,13,4,4,-,8,2
"S00150876",100,63,16,11,-,-,3,7,-
"S00150877",87,73,4,8,1,2,-,3,-
"S00150878",173,139,8,11,4,4,-,6,-
"S00150879",197,137,36,4,9,2,4,-,1
"S00150880",103,69,16,4,4,3,1,3,-
"S00150881",102,85,7,5,-,1,-,2,-
"S00150882",119,86,11,16,-,1,1,6,-
"S00150883",99,71,9,5,-,4,-,6,-
"S00150884",142,85,22,23,2,3,4,3,-
"S00150885",103,88,5,2,1,3,2,-,-
"S00150886",143,115,6,8,3,1,-,10,-
"S00150887",114,67,24,10,1,4,2,-,-
"S00150888",90,66,19,1,1,-,2,-,-
"S00150889",122,98,8,2,4,2,-,9,-
"S00150890",125,101,7,5,2,1,2,11,-
"S00150891",109,84,13,6,3,5,1,1,-
"S00150892",259,135,67,28,10,5,4,9,2
"S00150893",90,48,12,15,4,4,2,3,1
"S00150894",150,115,5,13,1,1,-,14,3
"S00150895",123,104,9,2,-,4,-,2,-
"S00150896",160,118,20,16,-,1,2,2,-
"S00150897",116,64,16,3,4,8,-,17,1
"S00150898",150,118,9,5,3,4,-,11,-
"S00150899",67,54,8,3,-,-,2,-,-
"S00150900",126,78,20,10,2,4,2,3,1
"S00150901",120,94,8,12,1,1,-,5,-
"S00150902",157,115,23,7,4,2,2,1,-
"S00150903",191,147,18,16,3,-,3,7,-
"S00150904",123,69,35,4,-,2,-,2,-
"S00150905",143,97,13,11,1,2,6,6,-
"S00150906",105,77,18,6,4,4,2,2,-
"S00150907",78,56,11,5,3,1,-,-,2
"S00150908",107,81,11,8,-,1,1,4,1
"S00150909",120,77,17,14,3,7,1,-,-
"S00150910",139,77,33,10,4,5,4,4,2
"S00150911",106,89,6,3,1,4,-,3,-
"S00150912",130,108,13,-,1,-,-,3,-
"S00150913",89,66,5,7,2,2,3,5,-
"S00150914",182,116,6,22,9,12,1,18,-
"S00150915",105,73,15,12,-,1,-,-,-
"S00150916",117,89,13,12,-,-,3,1,1
"S00150917",109,83,10,6,2,3,1,4,-
"S00150918",147,113,16,10,3,-,5,-,-
"S00150919",63,43,8,-,2,1,1,8,-
"S00150920",92,65,6,16,-,3,1,1,-
"S00150921",118,92,7,13,2,1,-,2,-
"S00150922",66,41,16,-,-,-,-,6,-
"S00150923",120,78,22,6,-,4,-,8,-
"S00150924",82,51,10,10,3,1,-,-,-
"S00150925",172,63,47,20,14,6,18,10,-
"S00150926",75,60,6,2,-,2,3,1,-
"S00150927",125,98,8,7,2,1,-,7,-
"S00150928",112,83,15,8,1,1,-,4,-
"S00150929",93,66,12,12,2,2,-,-,-
"S00150930",89,58,11,10,1,1,-,7,1
"S00150931",101,79,23,2,-,-,-,1,-
"S00150932",101,73,14,5,5,1,1,4,-
"S00150933",111,81,7,13,1,3,1,3,-
"S00150934",147,100,13,7,7,14,-,5,-
"S00150935",90,72,9,5,-,2,-,6,-
"S00150936",92,72,6,10,-,4,-,2,-
